artwork_id,image_id,date,title_fr,title_en,title_lang,medium,support,width_cm,height_cm,width_in,height_in,tags,show,favorite,possessor,notes
mj-20221016-2,img-20221016-2,2022-10-16,vert,green,en,oil on canvas,canvas,,,8,8,,1,0,Martin Jambon,
mj-20221016-1,img-20221016-1,2022-10-16,,,en,oil on canvas,canvas,,,8,8,,1,0,Martin Jambon,
mj-20221002-2,img-20221002-2,2022-10-02,,floating blobs,en,acrylic marker on canvas,canvas,,,14,11,,1,0,Martin Jambon,
mj-20221002-1,img-20221002-1,2022-10-02,l'inéluctable émergence de Kim Kardashian,The inevitable emergence of Kim Kardashian,fr,acrylic paint on paper,paper,29.7,21,,,,1,0,Martin Jambon,
mj-20220929,img-20220929,2022-09-29,nos ancêtres les Barbapapa,"Our ancestors, the Barbapapas",fr,acrylic marker on paper,paper,29.7,21,,,,1,0,Martin Jambon,
mj-20220927-4,img-20220927-4,2022-09-27,pomme no. 2,apple #2,en,acrylic marker on paper,paper,29.7,21,,,,1,0,Martin Jambon,
mj-20220927-3,img-20220927-3,2022-09-27,,,,acrylic marker on paper,paper,29.7,21,,,,0,0,Martin Jambon,
mj-20220927-2,img-20220927-2,2022-09-27,,,,acrylic marker on paper,paper,29.7,21,,,,0,0,Martin Jambon,
mj-20220927-1,img-20220927-1,2022-09-27,,,,acrylic marker on paper,paper,29.7,21,,,,0,0,Martin Jambon,
mj-20220924,img-20220924,2022-09-24,encerclement,surrounding,fr,acrylic marker on canvas,canvas,,,14,11,,1,1,Martin Jambon,
mj-20220922,img-20220922,2022-09-22,écosystème flambant neuf,brand new ecosystem,fr,acrylic marker on canvas,canvas,,,14,11,,1,0,Martin Jambon,
mj-20220917,img-20220917,2022-09-17,pomme,apple,en,acrylic paint and metal on canvas,canvas,,,8,8,,1,0,Martin Jambon,
mj-20220907-2,img-20220907-2,2022-09-07,,Look On Down From The Bridge (after Mazzy Star),en,acrylic marker on canvas,canvas,,,14,11,monochrome,1,0,Martin Jambon,
mj-20220907-1,img-20220907-1,2022-09-07,la vie telle qu’on la connaît,life as we know it,en,acrylic marker on canvas,canvas,,,14,11,,1,0,Martin Jambon,
mj-20220905,img-20220905,2022-09-05,tout,everything,en,acrylic marker on canvas,canvas,,,8,8,,1,0,Martin Jambon,
mj-20220903,img-20220903,2022-09-03,vendredi,Friday,en,acrylic marker on canvas,canvas,,,8,8,,1,0,Martin Jambon,
mj-20220831,img-20220831,2022-08-31,ego,ego,en,acrylic on canvas,canvas,,,40,30,,1,0,Martin Jambon,
mj-20220827,img-20220827,2022-08-27,violence,violence,en,acrylic marker on canvas,canvas,,,40,30,,1,0,Martin Jambon,
mj-20220821,img-20220821,2022-08-21,rose et or,pink and gold,en,"aluminum, plaster, paint",,,,,,sculpture,1,0,Martin Jambon,
mj-20220820-2,img-20220820-2,2022-08-20,San Francisco,San Francisco,en,acrylic marker on canvas,canvas,,,14,11,,1,1,Martin Jambon,
mj-20220820-1,img-20220820-1,2022-08-20,ensoleillement,sunshine,en,acrylic marker on canvas,canvas,,,18,14,monochrome,1,0,Martin Jambon,
mj-20220813,img-20220813,2022-08-13,le paradis et l’enfer mais surtout l’enfer,heaven and hell but mostly hell,en,acrylic marker on canvas,canvas,,,14,11,,1,1,Martin Jambon,
mj-20220803-2,img-20220803-2,2022-08-03,débris spatiaux,space debris,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,
mj-20220803-1,img-20220803-1,2022-08-03,bien établi,settled,en,acrylic marker on white paper,paper,,,12,9,,1,1,Martin Jambon,
mj-20220801-2,img-20220801-2,2022-08-01,pépite spatiale,space nugget,en,acrylic marker on white paper,paper,,,12,9,,1,1,Martin Jambon,
mj-20220801-1,img-20220801-1,2022-08-01,réorganisation,reorganization,en,acrylic marker on white paper,paper,,,12,9,,1,0,Martin Jambon,
mj-20220731,img-20220731,2022-07-31,plis,wrinkles,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,
mj-20220710,img-20220710,2022-07-10,,,,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,The date is approximate
mj-20220702,img-20220702,2022-07-02,colle magique,magic glue,en,acrylic marker on black paper,paper,,,11,8.5,,1,0,Martin Jambon,
